Metric,Threshold 0.50,Threshold 0.40
Accuracy,0.752263296869106,0.7416069407770652
Precision,0.7239243261342709,0.6852762510847555
Recall,0.8155413051678612,0.8936250471520181
F1-score,0.7670066518847006,0.7757039947609692
ROC-AUC,0.8297895209326501,0.8297895209326501
